MonthDay,mean,sd1,sd1low,sd2,sd2low,Block,MonthDayYear
08-26,201.2,235.32916641232245,167.07083358767753,269.4583328246449,132.94166717535506,2000-2020,2000-08-26
08-27,197.55,228.79348353109646,166.30651646890357,260.0369670621929,135.06303293780712,2000-2020,2000-08-27
08-28,195.45,227.18819714310717,163.7118028568928,258.92639428621436,131.97360571378562,2000-2020,2000-08-28
08-29,194.3,228.11388690121888,160.48611309878115,261.92777380243774,126.67222619756227,2000-2020,2000-08-29
08-30,197.45,235.1377405726807,159.76225942731926,272.82548114536144,122.07451885463855,2000-2020,2000-08-30
08-31,195.75,233.22262158457897,158.27737841542103,270.69524316915795,120.80475683084208,2000-2020,2000-08-31
06-01,391.138888888889,391.138888888889,391.138888888889,391.138888888889,391.138888888889,2021,2000-06-01
06-02,480.638888888889,480.638888888889,480.638888888889,480.638888888889,480.638888888889,2021,2000-06-02
06-03,574.9375,574.9375,574.9375,574.9375,574.9375,2021,2000-06-03
06-04,629.1875,629.1875,629.1875,629.1875,629.1875,2021,2000-06-04
06-05,640.815972222222,640.815972222222,640.815972222222,640.815972222222,640.815972222222,2021,2000-06-05
06-06,608.482638888889,608.482638888889,608.482638888889,608.482638888889,608.482638888889,2021,2000-06-06
06-07,577.604166666667,577.604166666667,577.604166666667,577.604166666667,577.604166666667,2021,2000-06-07
06-08,553.586805555556,553.586805555556,553.586805555556,553.586805555556,553.586805555556,2021,2000-06-08
06-09,535.777777777778,535.777777777778,535.777777777778,535.777777777778,535.777777777778,2021,2000-06-09
06-10,521.840277777778,521.840277777778,521.840277777778,521.840277777778,521.840277777778,2021,2000-06-10
06-11,503.767361111111,503.767361111111,503.767361111111,503.767361111111,503.767361111111,2021,2000-06-11
06-12,481.295138888889,481.295138888889,481.295138888889,481.295138888889,481.295138888889,2021,2000-06-12
06-13,462.857638888889,462.857638888889,462.857638888889,462.857638888889,462.857638888889,2021,2000-06-13
06-14,468.954861111111,468.954861111111,468.954861111111,468.954861111111,468.954861111111,2021,2000-06-14
06-15,579.104166666667,579.104166666667,579.104166666667,579.104166666667,579.104166666667,2021,2000-06-15
06-16,658.517361111111,658.517361111111,658.517361111111,658.517361111111,658.517361111111,2021,2000-06-16
06-17,618.565972222222,618.565972222222,618.565972222222,618.565972222222,618.565972222222,2021,2000-06-17
06-18,569.329861111111,569.329861111111,569.329861111111,569.329861111111,569.329861111111,2021,2000-06-18
06-19,579.5625,579.5625,579.5625,579.5625,579.5625,2021,2000-06-19
06-20,606.850694444444,606.850694444444,606.850694444444,606.850694444444,606.850694444444,2021,2000-06-20
06-21,629.097222222222,629.097222222222,629.097222222222,629.097222222222,629.097222222222,2021,2000-06-21
06-22,651.472222222222,651.472222222222,651.472222222222,651.472222222222,651.472222222222,2021,2000-06-22
06-23,690.548611111111,690.548611111111,690.548611111111,690.548611111111,690.548611111111,2021,2000-06-23
06-24,711.121527777778,711.121527777778,711.121527777778,711.121527777778,711.121527777778,2021,2000-06-24
06-25,717.125,717.125,717.125,717.125,717.125,2021,2000-06-25
06-26,733.121951219512,733.121951219512,733.121951219512,733.121951219512,733.121951219512,2021,2000-06-26
06-27,779.333333333333,779.333333333333,779.333333333333,779.333333333333,779.333333333333,2021,2000-06-27
06-28,808.770833333333,808.770833333333,808.770833333333,808.770833333333,808.770833333333,2021,2000-06-28
06-29,841.868055555556,841.868055555556,841.868055555556,841.868055555556,841.868055555556,2021,2000-06-29
06-30,866.225694444444,866.225694444444,866.225694444444,866.225694444444,866.225694444444,2021,2000-06-30
07-01,875.221014492754,875.221014492754,875.221014492754,875.221014492754,875.221014492754,2021,2000-07-01
07-02,882.104166666667,882.104166666667,882.104166666667,882.104166666667,882.104166666667,2021,2000-07-02
07-03,869.895833333333,869.895833333333,869.895833333333,869.895833333333,869.895833333333,2021,2000-07-03
07-04,823.802158273381,823.802158273381,823.802158273381,823.802158273381,823.802158273381,2021,2000-07-04
07-05,782.786561264822,782.786561264822,782.786561264822,782.786561264822,782.786561264822,2021,2000-07-05
07-06,743.247058823529,743.247058823529,743.247058823529,743.247058823529,743.247058823529,2021,2000-07-06
07-07,700.144486692015,700.144486692015,700.144486692015,700.144486692015,700.144486692015,2021,2000-07-07
07-08,659.203921568627,659.203921568627,659.203921568627,659.203921568627,659.203921568627,2021,2000-07-08
07-09,624.525691699605,624.525691699605,624.525691699605,624.525691699605,624.525691699605,2021,2000-07-09
07-10,592.213438735178,592.213438735178,592.213438735178,592.213438735178,592.213438735178,2021,2000-07-10
07-11,562.827450980392,562.827450980392,562.827450980392,562.827450980392,562.827450980392,2021,2000-07-11
07-12,527.662698412698,527.662698412698,527.662698412698,527.662698412698,527.662698412698,2021,2000-07-12
07-13,501.836,501.836,501.836,501.836,501.836,2021,2000-07-13
07-14,487.68093385214,487.68093385214,487.68093385214,487.68093385214,487.68093385214,2021,2000-07-14
07-15,469.932270916335,469.932270916335,469.932270916335,469.932270916335,469.932270916335,2021,2000-07-15
07-16,452.123076923077,452.123076923077,452.123076923077,452.123076923077,452.123076923077,2021,2000-07-16
07-17,433.117886178862,433.117886178862,433.117886178862,433.117886178862,433.117886178862,2021,2000-07-17
07-18,417.581673306773,417.581673306773,417.581673306773,417.581673306773,417.581673306773,2021,2000-07-18
07-19,402.956175298805,402.956175298805,402.956175298805,402.956175298805,402.956175298805,2021,2000-07-19
07-20,393.602362204724,393.602362204724,393.602362204724,393.602362204724,393.602362204724,2021,2000-07-20
07-21,385.827450980392,385.827450980392,385.827450980392,385.827450980392,385.827450980392,2021,2000-07-21
07-22,366.318367346939,366.318367346939,366.318367346939,366.318367346939,366.318367346939,2021,2000-07-22
07-23,335.784,335.784,335.784,335.784,335.784,2021,2000-07-23
07-24,318.104838709677,318.104838709677,318.104838709677,318.104838709677,318.104838709677,2021,2000-07-24
07-25,310.166023166023,310.166023166023,310.166023166023,310.166023166023,310.166023166023,2021,2000-07-25
07-26,306.814393939394,306.814393939394,306.814393939394,306.814393939394,306.814393939394,2021,2000-07-26
07-27,303.296577946768,303.296577946768,303.296577946768,303.296577946768,303.296577946768,2021,2000-07-27
07-28,297.019230769231,297.019230769231,297.019230769231,297.019230769231,297.019230769231,2021,2000-07-28
07-29,287.723776223776,287.723776223776,287.723776223776,287.723776223776,287.723776223776,2021,2000-07-29
07-30,286.222222222222,286.222222222222,286.222222222222,286.222222222222,286.222222222222,2021,2000-07-30
07-31,285.767361111111,285.767361111111,285.767361111111,285.767361111111,285.767361111111,2021,2000-07-31
08-01,286.236111111111,286.236111111111,286.236111111111,286.236111111111,286.236111111111,2021,2000-08-01
